year,geography,fips,county,state,urban,d_diab_allR,v_diab_allR,d_diab_black,v_diab_black,d_diab_white,v_diab_white
2021,County,1001,Autauga County,ALABAMA,Urban,"1,000-4,999",31,500-999,40,"1,000-4,999",30
2021,County,1003,Baldwin County,ALABAMA,Rural,"10,000+",23,500-999,33,"10,000+",23
2021,County,1005,Barbour County,ALABAMA,Rural,"1,000-4,999",31,500-999,39,"1,000-4,999",28
2021,County,1007,Bibb County,ALABAMA,Urban,"1,000-4,999",32,11-499,33,"1,000-4,999",31
2021,County,1009,Blount County,ALABAMA,Urban,"1,000-4,999",31,11-499,39,"1,000-4,999",30
2021,County,1011,Bullock County,ALABAMA,Rural,11-499,35,11-499,37,11-499,32
2021,County,1013,Butler County,ALABAMA,Rural,"1,000-4,999",34,500-999,42,"1,000-4,999",31
2021,County,1015,Calhoun County,ALABAMA,Urban,"10,000+",31,"1,000-4,999",38,"10,000+",29
2021,County,1017,Chambers County,ALABAMA,Rural,"1,000-4,999",34,"1,000-4,999",39,"1,000-4,999",32
2021,County,1019,Cherokee County,ALABAMA,Rural,"1,000-4,999",29,11-499,38,"1,000-4,999",29
2021,County,1021,Chilton County,ALABAMA,Urban,"1,000-4,999",30,11-499,36,"1,000-4,999",30
2021,County,1023,Choctaw County,ALABAMA,Rural,"1,000-4,999",33,500-999,39,"1,000-4,999",30
2021,County,1025,Clarke County,ALABAMA,Rural,"1,000-4,999",31,500-999,35,"1,000-4,999",29
2021,County,1027,Clay County,ALABAMA,Rural,"1,000-4,999",28,11-499,29,"1,000-4,999",28
2021,County,1029,Cleburne County,ALABAMA,Rural,"1,000-4,999",30,11-499,43,"1,000-4,999",30
2021,County,1031,Coffee County,ALABAMA,Rural,"5,000-9,999",30,500-999,40,"5,000-9,999",29
2021,County,1033,Colbert County,ALABAMA,Urban,"5,000-9,999",33,500-999,42,"5,000-9,999",32
2021,County,1035,Conecuh County,ALABAMA,Rural,"1,000-4,999",33,500-999,39,"1,000-4,999",29
2021,County,1037,Coosa County,ALABAMA,Rural,"1,000-4,999",29,11-499,35,"1,000-4,999",27
2021,County,1039,Covington County,ALABAMA,Rural,"5,000-9,999",31,11-499,38,"5,000-9,999",30
2021,County,1041,Crenshaw County,ALABAMA,Rural,"1,000-4,999",33,11-499,41,"1,000-4,999",31
2021,County,1043,Cullman County,ALABAMA,Rural,"5,000-9,999",30,11-499,44,"5,000-9,999",30
2021,County,1045,Dale County,ALABAMA,Rural,"5,000-9,999",31,500-999,40,"5,000-9,999",30
2021,County,1047,Dallas County,ALABAMA,Rural,"1,000-4,999",32,"1,000-4,999",35,"1,000-4,999",28
2021,County,1049,DeKalb County,ALABAMA,Rural,"5,000-9,999",29,11-499,31,"5,000-9,999",29
2021,County,1051,Elmore County,ALABAMA,Urban,"5,000-9,999",29,500-999,35,"5,000-9,999",28
2021,County,1053,Escambia County,ALABAMA,Rural,"1,000-4,999",32,500-999,39,"1,000-4,999",30
2021,County,1055,Etowah County,ALABAMA,Urban,"10,000+",31,"1,000-4,999",39,"5,000-9,999",30
2021,County,1057,Fayette County,ALABAMA,Rural,"1,000-4,999",33,11-499,45,"1,000-4,999",32
2021,County,1059,Franklin County,ALABAMA,Rural,"1,000-4,999",32,11-499,40,"1,000-4,999",31
2021,County,1061,Geneva County,ALABAMA,Urban,"1,000-4,999",31,11-499,40,"1,000-4,999",30
2021,County,1063,Greene County,ALABAMA,Urban,500-999,35,500-999,38,11-499,27
2021,County,1065,Hale County,ALABAMA,Urban,"1,000-4,999",32,"1,000-4,999",35,"1,000-4,999",29
2021,County,1067,Henry County,ALABAMA,Urban,"1,000-4,999",29,11-499,36,"1,000-4,999",28
2021,County,1069,Houston County,ALABAMA,Urban,"10,000+",29,"1,000-4,999",39,"5,000-9,999",28
2021,County,1071,Jackson County,ALABAMA,Rural,"5,000-9,999",33,11-499,43,"5,000-9,999",33
2021,County,1073,Jefferson County,ALABAMA,Urban,"10,000+",26,"10,000+",33,"10,000+",24
2021,County,1075,Lamar County,ALABAMA,Rural,"1,000-4,999",32,11-499,35,"1,000-4,999",32
2021,County,1077,Lauderdale County,ALABAMA,Urban,"10,000+",30,500-999,40,"10,000+",29
2021,County,1079,Lawrence County,ALABAMA,Urban,"1,000-4,999",37,11-499,42,"1,000-4,999",37
2021,County,1081,Lee County,ALABAMA,Urban,"10,000+",27,"1,000-4,999",34,"5,000-9,999",25
2021,County,1083,Limestone County,ALABAMA,Urban,"5,000-9,999",32,500-999,44,"5,000-9,999",31
2021,County,1085,Lowndes County,ALABAMA,Urban,500-999,29,11-499,32,11-499,26
2021,County,1087,Macon County,ALABAMA,Rural,"1,000-4,999",33,"1,000-4,999",36,500-999,24
2021,County,1089,Madison County,ALABAMA,Urban,"10,000+",28,"5,000-9,999",37,"10,000+",26
2021,County,1091,Marengo County,ALABAMA,Rural,"1,000-4,999",37,"1,000-4,999",41,"1,000-4,999",33
2021,County,1093,Marion County,ALABAMA,Rural,"1,000-4,999",33,11-499,35,"1,000-4,999",33
2021,County,1095,Marshall County,ALABAMA,Rural,"10,000+",28,11-499,35,"10,000+",28
2021,County,1097,Mobile County,ALABAMA,Urban,"10,000+",28,"5,000-9,999",33,"10,000+",26
2021,County,1099,Monroe County,ALABAMA,Rural,"1,000-4,999",31,500-999,36,"1,000-4,999",28
2021,County,1101,Montgomery County,ALABAMA,Urban,"10,000+",28,"5,000-9,999",35,"5,000-9,999",23
2021,County,1103,Morgan County,ALABAMA,Urban,"10,000+",31,"1,000-4,999",40,"10,000+",30
2021,County,1105,Perry County,ALABAMA,Rural,500-999,34,11-499,39,11-499,27
2021,County,1107,Pickens County,ALABAMA,Rural,"1,000-4,999",34,500-999,39,"1,000-4,999",32
2021,County,1109,Pike County,ALABAMA,Rural,"1,000-4,999",30,500-999,35,"1,000-4,999",28
2021,County,1111,Randolph County,ALABAMA,Rural,"1,000-4,999",30,11-499,43,"1,000-4,999",29
2021,County,1113,Russell County,ALABAMA,Urban,"5,000-9,999",32,"1,000-4,999",37,"1,000-4,999",30
2021,County,1115,St. Clair County,ALABAMA,Urban,"5,000-9,999",31,11-499,41,"5,000-9,999",30
2021,County,1117,Shelby County,ALABAMA,Urban,"5,000-9,999",28,500-999,35,"5,000-9,999",27
2021,County,1119,Sumter County,ALABAMA,Rural,"1,000-4,999",35,500-999,40,11-499,26
2021,County,1121,Talladega County,ALABAMA,Rural,"5,000-9,999",31,"1,000-4,999",36,"5,000-9,999",30
2021,County,1123,Tallapoosa County,ALABAMA,Rural,"1,000-4,999",26,500-999,36,"1,000-4,999",24
2021,County,1125,Tuscaloosa County,ALABAMA,Urban,"10,000+",29,"1,000-4,999",34,"10,000+",27
2021,County,1127,Walker County,ALABAMA,Urban,"5,000-9,999",33,11-499,40,"5,000-9,999",32
2021,County,1129,Washington County,ALABAMA,Rural,"1,000-4,999",31,11-499,37,"1,000-4,999",29
2021,County,1131,Wilcox County,ALABAMA,Rural,"1,000-4,999",36,500-999,39,500-999,33
2021,County,1133,Winston County,ALABAMA,Rural,"1,000-4,999",31,,,"1,000-4,999",31
2021,County,2020,Anchorage Municipality,ALASKA,Urban,"10,000+",22,"1,000-4,999",30,"10,000+",18
2021,County,2090,Fairbanks North Star Borough,ALASKA,Urban,"10,000+",19,11-499,27,"5,000-9,999",18
2021,County,2050,Bethel Census Area,ALASKA,Rural,500-999,11,,,11-499,16
2021,County,2110,Juneau City and Borough,ALASKA,Rural,"5,000-9,999",18,11-499,19,"1,000-4,999",15
2021,County,2060,Bristol Bay Borough,ALASKA,Rural,500-999,20,,,500-999,19
2021,County,2070,Dillingham Census Area,ALASKA,Rural,500-999,14,,,11-499,13
2021,County,2130,Ketchikan Gateway Borough,ALASKA,Rural,"1,000-4,999",21,11-499,21,"1,000-4,999",20
2021,County,2170,Matanuska-Susitna Borough,ALASKA,Urban,"10,000+",21,11-499,29,"10,000+",20
2021,County,2100,Haines Borough,ALASKA,Rural,500-999,15,,,500-999,14
2021,County,4001,Apache County,ARIZONA,Rural,"5,000-9,999",38,11-499,19,"1,000-4,999",18
2021,County,2122,Kenai Peninsula Borough,ALASKA,Rural,11-499,18,,,11-499,18
2021,County,4003,Cochise County,ARIZONA,Rural,"10,000+",22,500-999,30,"10,000+",20
2021,County,2150,Kodiak Island Borough,ALASKA,Rural,500-999,25,,,500-999,19
2021,County,4005,Coconino County,ARIZONA,Urban,"10,000+",19,11-499,21,"10,000+",13
2021,County,4007,Gila County,ARIZONA,Rural,"10,000+",24,11-499,31,"5,000-9,999",20
2021,County,2180,Nome Census Area,ALASKA,Rural,500-999,14,,,11-499,18
2021,County,2220,Sitka City and Borough,ALASKA,Rural,"1,000-4,999",20,,,"1,000-4,999",17
2021,County,4012,La Paz County,ARIZONA,Rural,"1,000-4,999",24,11-499,38,"1,000-4,999",20
